File_Name,Rule_ID,Level,Match,Description,Groups,MITRE_ID,If_Sid,If_Matched_Sid,Frequency,Timeframe,Ignore
0015-ossec_rules.xml,500,0,,Grouping of wazuh rules.,,,,,,,
0015-ossec_rules.xml,501,3,Agent started,New wazuh agent connected.,"pci_dss_10.6.1,gpg13_10.1,gdpr_IV_35.7.d,hipaa_164.312.b,nist_800_53_AU.6,tsc_CC7.2,tsc_CC7.3,",,500,,,,
0015-ossec_rules.xml,502,3,Manager started,Wazuh server started.,"pci_dss_10.6.1,gpg13_10.1,gdpr_IV_35.7.d,hipaa_164.312.b,nist_800_53_AU.6,tsc_CC7.2,tsc_CC7.3,",,500,,,,
0015-ossec_rules.xml,503,3,Agent started,Wazuh agent started.,"pci_dss_10.6.1,pci_dss_10.2.6,gpg13_10.1,gdpr_IV_35.7.d,hipaa_164.312.b,nist_800_53_AU.6,nist_800_53_AU.14,nist_800_53_AU.5,tsc_CC7.2,tsc_CC7.3,tsc_CC6.8,",,500,,,,
0015-ossec_rules.xml,504,3,Agent disconnected,Wazuh agent disconnected.,"pci_dss_10.6.1,pci_dss_10.2.6,gpg13_10.1,gdpr_IV_35.7.d,hipaa_164.312.b,nist_800_53_AU.6,nist_800_53_AU.14,nist_800_53_AU.5,tsc_CC7.2,tsc_CC7.3,tsc_CC6.8,",T1562.001,500,,,,
0015-ossec_rules.xml,505,3,Agent removed,Wazuh agent removed.,"pci_dss_10.6.1,pci_dss_10.2.6,gpg13_10.1,gdpr_IV_35.7.d,hipaa_164.312.b,nist_800_53_AU.6,nist_800_53_AU.14,nist_800_53_AU.5,tsc_CC7.2,tsc_CC7.3,tsc_CC6.8,",T1562.001,500,,,,
0015-ossec_rules.xml,506,3,Agent stopped,Wazuh agent stopped.,"pci_dss_10.6.1,pci_dss_10.2.6,gpg13_10.1,gdpr_IV_35.7.d,hipaa_164.312.b,nist_800_53_AU.6,nist_800_53_AU.14,nist_800_53_AU.5,tsc_CC7.2,tsc_CC7.3,tsc_CC6.8,",T1562.001,500,,,,
0015-ossec_rules.xml,509,0,,Rootcheck event.,"pci_dss_10.6.1,rootcheck,",,,,,,
0015-ossec_rules.xml,510,7,,Host-based anomaly detection event (rootcheck).,"rootcheck,pci_dss_10.6.1,gdpr_IV_35.7.d,",,509,,,,
0015-ossec_rules.xml,511,0,^NTFS Alternate data stream found,Ignored common NTFS ADS entries.,"rootcheck,",,510,,,,
0015-ossec_rules.xml,512,3,^Windows Audit,Windows Audit event.,"pci_dss_10.6.1,hipaa_164.312.b,rootcheck,",,510,,,,
0015-ossec_rules.xml,513,9,^Windows Malware,Windows malware detected.,"rootcheck,pci_dss_10.6.1,gpg13_4.2,gdpr_IV_35.7.d,",,510,,,,
0015-ossec_rules.xml,514,2,^Application Found,Windows application monitor event.,"pci_dss_10.6.1,hipaa_164.312.b,rootcheck,",,510,,,,
0015-ossec_rules.xml,515,0,^Starting rootcheck scan|^Ending rootcheck scan.|,Ignoring scan messages.,"rootcheck,syscheck,pci_dss_10.6.1,gdpr_IV_35.7.d,gdpr_IV_30.1.g,hipaa_164.312.b,nist_800_53_AU.6,tsc_CC7.2,tsc_CC7.3,",,510,,,,
0015-ossec_rules.xml,516,3,^System Audit,System Audit event.,"rootcheck,gdpr_IV_30.1.g,",,510,,,,
0015-ossec_rules.xml,517,7,^ossec: Audit:,Syscheck Audit: $(extra_data),"syscheck,gdpr_II_5.1.f,gdpr_IV_35.7.d,",,500,,,,
0015-ossec_rules.xml,518,9,Adware|Spyware,Windows Adware/Spyware application found.,"rootcheck,pci_dss_10.6.1,gpg13_4.2,gdpr_IV_35.7.d,",T1072,514,,,,
0015-ossec_rules.xml,519,7,^System Audit: Web vulnerability,System Audit: Vulnerable web application found.,"rootcheck,pci_dss_10.6.1,gdpr_IV_35.7.d,gdpr_IV_30.1.g,",,516,,,,
0015-ossec_rules.xml,520,3,Duplicate IP,Trying to add an agent with duplicate IP.,"pci_dss_10.6.1,gpg13_10.1,gdpr_IV_35.7.d,hipaa_164.312.b,nist_800_53_AU.6,tsc_CC7.2,tsc_CC7.3,",,500,,,,
0015-ossec_rules.xml,521,11,Possible kernel level rootkit,Possible kernel level rootkit,"rootcheck,",T1014,510,,,,
0015-ossec_rules.xml,530,0,^ossec: output: ,Wazuh process monitoring rules.,"process_monitor,",,500,,,,
0015-ossec_rules.xml,531,7,ossec: output: 'df -P': /dev/,Partition usage reached 100% (disk space monitor).,"low_diskspace,pci_dss_10.6.1,gpg13_10.1,gdpr_IV_35.7.d,hipaa_164.312.b,nist_800_53_AU.6,tsc_CC7.2,tsc_CC7.3,",,530,,,,7200
0015-ossec_rules.xml,532,0,cdrom|/media|usb|/mount|floppy|dvd,Ignoring external medias.,,,531,,,,
0015-ossec_rules.xml,533,7,ossec: output: 'netstat listening ports,Listened ports status (netstat) changed (new port opened or closed).,"pci_dss_10.2.7,pci_dss_10.6.1,gpg13_10.1,gdpr_IV_35.7.d,hipaa_164.312.b,nist_800_53_AU.14,nist_800_53_AU.6,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,",,530,,,,
0015-ossec_rules.xml,534,1,ossec: output: 'w',List of logged in users. It will not be alerted by default.,,,530,,,,
0015-ossec_rules.xml,535,1,ossec: output: 'last -n ,List of the last logged in users.,"pci_dss_10.6.1,hipaa_164.312.b,",,530,,,,
0015-ossec_rules.xml,536,0,,Ignore snap disks because they are always at 100% of capacity,,,531,,,,
0015-ossec_rules.xml,550,7,,Integrity checksum changed.,"syscheck,syscheck_entry_modified,syscheck_file,pci_dss_11.5,gpg13_4.11,gdpr_II_5.1.f,hipaa_164.312.c.1,hipaa_164.312.c.2,nist_800_53_SI.7,tsc_PI1.4,tsc_PI1.5,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,",T1565.001,,,,,
0015-ossec_rules.xml,553,7,,File deleted.,"syscheck,syscheck_entry_deleted,syscheck_file,pci_dss_11.5,gpg13_4.11,gdpr_II_5.1.f,hipaa_164.312.c.1,hipaa_164.312.c.2,nist_800_53_SI.7,tsc_PI1.4,tsc_PI1.5,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,","T1070.004,T1485",,,,,
